TITLE,CITED BY,YEAR
"Diabetes Care 45 (3), 555-563",,
Accurate and robust inference of microbial growth dynamics from metagenomic sequencing reveals personalized growth rates,37,2022
"TA Joseph, P Chlenski, A Litman, T Korem, I Pe'er",,
"Genome Research, gr. 275533.121",,
A non-optimal cervicovaginal microbiota in pregnancy is associated with a distinct metabolomic signature among non-Hispanic Black individuals,8,2021
"KD Gerson, J Liao, C McCarthy, HH Burris, T Korem, M Levy, J Ravel, ...",,
"Scientific Reports 11 (1), 22794",,
Prediction of Personal Glycemic Responses to Food for Individuals With Type 1 Diabetes Through Integration of Clinical and Microbial Data,28,2021
"S Shilo, A Godneva, M Rachmiel, T Korem, D Kolobkov, T Karady, N Bar, ...",,
"Diabetes care, dc211048",,
Embracing metagenomic complexity with a genome-free approach,14,2021
"I Coleman, T Korem",,
"Msystems 6 (4), 10.1128/msystems. 00816-21",,
Minimal associations between short-term dietary intake and salivary microbiome composition,3,2021
"J Kim, M Lee, B Baldwin-Hunter, QS Solfisburg, CJ Lightdale, T Korem, ...",,
"Microorganisms 9 (8), 1739",,
"Deciphering metabolism, one microbe at a time",,2021
"WF Kindschuh, T Korem",,
"Nature 595 (7867), 355-357",,
Su173 SALIVARY MICROBIOME COMPOSITION IS ASSOCIATED WITH ADVANCED NEOPLASIA IN BARRETT'S ESOPHAGUS INDEPENDENT OF TOOTH LOSS,1,2021
"QS Solfisburg, BL Baldwin-Hunter, CJ Lightdale, T Korem, JA Abrams",,
"Gastroenterology 160 (6), S-635-S-636",,
"The hygiene hypothesis, the COVID pandemic, and consequences for the human microbiome",191,2021
"BB Finlay, KR Amato, M Azad, MJ Blaser, TCG Bosch, H Chu, ...",,
"Proceedings of the National Academy of Sciences 118 (6), e2010217118",,
Accurate and robust inference of microbial growth dynamics from metagenomic sequencing,1,2021
"TA Joseph, P Chlenski, T Korem, I Pe'er",,
bioRxiv,,
Relationship of the esophageal microbiome and tissue gene expression and links to the oral microbiome: a randomized clinical trial,18,2020
"MK Annavajhala, M May, G Compres, DE Freedberg, R Graham, S Stump, ...",,
"Clinical and Translational Gastroenterology 11 (12), e00235",,
A reference map of potential determinants for the human serum metabolome,371,2020
"N Bar, T Korem, O Weissbrod, D Zeevi, D Rothschild, S Leviatan, ...",,
"Nature 588, 135-140",,
Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,401,2020
"RAT Mars, Y Yang, T Ward, M Houtti, S Priya, HR Lekatz, X Tang, Z Sun, ...",,
"Cell 182 (6), 1460-1473",,
The cancer microbiome: distinguishing direct and indirect effects requires a systemic view,210,2020
"JB Xavier, VB Young, J Skufca, F Ginty, T Testerman, AT Pearson, ...",,
"Trends in cancer 6 (3), 192-204",,
Structural variation in the gut microbiome associates with host health,325,2019
"D Zeevi, T Korem, A Godneva, N Bar, A Kurilshikov, M Lotan-Pompan, ...",,
"Nature 568 (7750), 43-48",,
