no,title,cited_by,year,aligned
122,"THE GRAVID ATRIUM: AN UNCOMMON CAUSE OF SHORTNESS OF BREATH IN PREGNANCY AND THE EXPANDING ROLE OF CARDIAC MAGNETIC RESONANCE IMAGING IN THE EVALUATION OF CARDIAC MASSES. R Anchan, K Kebed, T Song, S Rana, R Lang, A Patel, K Addetia. Journal of the American College of Cardiology 73 (9S1), 2259-2259",,2019,0
95,"Long‐term postpartum cardiac function and its association with preeclampsia. VA deMartelly, J Dreixler, A Tung, A Mueller, S Heimberger, AA Fazal, .... Journal of the American Heart Association 10 (5), e018526",37,2021,0
115,"Luteolin protect hGEnCs from TNF-α-induced endothelial dysfunction by attenuating ET-1 and ROS production. S Rana. Pregnancy Hypertension 17, S24-S25",,2019,1
44,"PO3_02. Bioflavonoid luteolin attenuates pathways implicated in development of vascular dysfunction in preeclampsia. A Eddy, F Spradley, J Granger, S Rana. Pregnancy Hypertension 33, e20",,2023,1
65,"Proof of the Generalizability of a predictive Algorithm for predicting Preeclampsia-associated Complications. M Hackeloeer, A Hoyler, S Rana, O Rieger, M Neznansky, A Karumanchi, .... GEBURTSHILFE UND FRAUENHEILKUNDE 82 (10), E78-E78",,2022,1
53,"Bioflavonoid luteolin prevents sFlt‐1 release via HIF‐1α inhibition in cultured human placenta. AC Eddy, CY Chiang, A Rajakumar, FT Spradley, P Dauer, JP Granger, .... The FASEB Journal 37 (8), e23078",7,2023,0
121,"Preeclampsia: pathophysiology, challenges, and perspectives. S Rana, E Lemoine, JP Granger, SA Karumanchi. Circulation research 124 (7), 1094-1112",2029,2019,1
40,"OP19_2. Luteolin, a natural flavonoid, attenuates the development of placental ischemia-induced hypertension in pregnant rats. F Spradley, B Bakrania, A Eddy, J Granger, S Rana. Pregnancy Hypertension 33, e86-e87",,2023,0
107,"Validation of sFlt1/PlGF Ratio to Rule Out Preeclampsia with Severe Features.. A Mueller, S Salahuddin, H Naseem, R Dhir, S Rana. REPRODUCTIVE SCIENCES 27 (SUPPL 1), 269A-269A",,2020,1
104,"Systematic Treatment and Management of Postpartum Hypertension (STAMPP-HTN)[38M]. C Duncan, H Kaur, A Mueller, M Solache, H Naseem, S Rana. Obstetrics & Gynecology 135, 145S",1,2020,0
24,"sFlt1/PlGF among patients with suspected preeclampsia when considering hypertensive status. E Patel, S Suresh, A Mueller, C Bisson, K Zhu, S Verlohren, .... AJOG Global Reports 4 (3), 100359",2,2024,1
80,"Imbalances in circulating angiogenic factors in the pathophysiology of preeclampsia and related disorders. S Rana, SD Burke, SA Karumanchi. American journal of obstetrics and gynecology 226 (2), S1019-S1034",250,2022,1
113,"Does planned early delivery make sense in women with preterm preeclampsia?. S Rana. OBG Management 31 (12), 14-16",,2019,1
