no,title,cited_by,year,aligned
120,"Conducting a reproducible Mendelian randomization analysis using the R analytic statistical environment. D Rasooly, CJ Patel. Current protocols in human genetics 101 (1), e82",49,2019,1
107,"Identifying communities at risk for COVID-19-related burden across 500 US Cities and within New York City (preprint). C Patel, A Deonarine, G Lyons, C Lakhani, A Manrai",,2020,1
44,"The demographic and socioeconomic correlates of behavior and HIV infection status across sub-Saharan Africa. CJ Patel, KT Claypool, E Chow, MK Chung, D Mai, J Chen, E Bendavid. Communications Medicine 2 (1), 104",3,2022,0
65,"Comparing the genetic and environmental architecture of blood count, blood biochemistry and urine biochemistry biological ages with machine learning. A Le Goallec, S Diai, T Vincent, CJ Patel. medRxiv, 2021.07. 05.21260032",,2021,1
53,"Plasma and ovarian metabolomic responses to chronic stress in female mice. OA Zeleznik, T Huang, CJ Patel, EM Poole, CB Clish, GN Armaiz-Pena, .... bioRxiv, 2022.01. 03.474852",,2022,1
126,"System for genetic surveillance and analysis. C Patel, H Fuernkranz, M Greenstein. US Patent 10,181,010",4,2019,1
40,"The Joint Public Health Impact of Family History of Diabetes and Cardiovascular Disease among Adults in the United States: A Population-Based Study. D Rasooly, Q Yang, R Moonesinghe, MJ Khoury, CJ Patel. Public Health Genomics 25 (5-6), 220-231",,2022,0
112,"Poly-exposure and poly-genomic scores implicate prominent roles of non-genetic and demographic factors in four common diseases in the UK. Y He, CM Lakhani, AK Manrai, CJ Patel. BioRxiv, 833632",5,2019,1
109,"A systematic machine learning and data type comparison yields metagenomic predictors of infant age, sex, breastfeeding, antibiotic usage, country of origin, and delivery type. AL Goallec, BT Tierney, JM Luber, EM Cofer, AD Kostic, CJ Patel. PLOS Computational Biology 16 (5), 1-21",,2020,1
24,"Comparing the vibration of effects due to model, data pre-processing and sampling uncertainty on a large data set in personality psychology. S Klau, CJ Patel, JPA Ioannidis, AL Boulesteix, S Hoffmann. Meta-Psychology 7",9,2023,1
80,"Temporal exposure and consistency of endocrine disrupting chemicals in a longitudinal study of individuals with impaired fasting glucose. TP Van Der Meer, MK Chung, M Van Faassen, KC Makris, AP Van Beek, .... Environmental research 197, 110901",13,2021,0
