no,title,cited_by,year,aligned
65,"Unique mutational changes in SARS-CoV2 genome of different state of India (preprint). P Prasad, K Sahu, B Singh, SK Barik, MH Asif, SV Sawant, SK Bag, ...",,2020,
53,"Phylogenetic analysis of SARS-CoV-2 in Boston highlights the impact of superspreading events. JE Lemieux, KJ Siddle, BM Shaw, C Loreth, SF Schaffner, .... Science 371 (6529), eabe3261",288*,2021,
40,"Advancing TB research using digitized programmatic data. J Taaffe, J Croda, H Moultrie, DS Silva, A Rosenthal, M Farhat. The International Journal of Tuberculosis and Lung Disease 25 (11), 890-895",1,2021,
70,"A negative feedback model to explain regulation of SARS-CoV-2 replication and transcription (preprint). G Shan, C Zhi, J Xiufeng, W Fang, X Yibo, Z Hao, L Chang, R Jishou, ...",,2020,
54,"In-host population dynamics of Mycobacterium tuberculosis complex during active disease. R Vargas, L Freschi, M Marin, LE Epperson, M Smith, I Oussenko, .... Elife 10, e61805",42*,2021,
24,"Self-Supervised Pretraining Enables High-Performance Chest X-Ray Interpretation Across Clinical Distributions. NS Iyer, A Gulati, O Banerjee, C Logé, M Farhat, AD Saenz, P Rajpurkar. medRxiv, 2022.11. 19.22282519",2,2022,
16,"Multimodal learning with graphs. Y Ektefaie, G Dasoulas, A Noori, M Farhat, M Zitnik. Nature Machine Intelligence 5 (4), 340-350",34,2023,
76,"Microbial evolutionary medicine: from theory to clinical practice. SB Andersen, BJ Shapiro, C Vandenbroucke-Grauls, MGJ de Vos. The Lancet Infectious Diseases 19 (8), e273-e283",19,2019,
66,"Discovery of drugs to treat cytokine storm-induced cardiac dysfunction using human cardiac organoids (preprint). RJ Mills, SJ Humphrey, PRJ Fortuna, GA Quaife-Ryan, L Devilee, ...",,2020,
20,"COVID-19 bacteremic co-infection is a major risk factor for mortality, ICU admission, and mechanical ventilation. MJ Patton, CJ Orihuela, KS Harrod, MAN Bhuiyan, P Dominic, CG Kevil, .... Critical Care 27 (1), 34",32,2023,
3,"Evaluating generalizability of artificial intelligence models for molecular datasets. Y Ektefaie, A Shen, D Bykova, M Marin, M Zitnik, MR Farhat. bioRxiv, 2024.02. 25.581982",,2024,
10,"Smoked drug use in patients with TB is associated with higher bacterial burden. B Myers, T Carney, J Rooney, S Malatesta, EJ Ragan, LF White, .... The International Journal of Tuberculosis and Lung Disease 27 (6), 444-450",2,2023,
17,"Clinical implications of molecular drug resistance testing for Mycobacterium tuberculosis: a 2023 TBnet/RESIST-TB consensus statement. J Domínguez, MJ Boeree, E Cambau, D Chesov, F Conradie, V Cox, .... The Lancet Infectious Diseases 23 (4), e122-e137",14,2023,
71,"Identification of SARS-CoV-2 induced pathways reveal drug repurposing strategies (preprint). N Han, W Hwang, K Tzelepis, P Schmerer, E Yankova, M MacMahon, ...",,2020,
1,"Exploring gene content with pangenome gene graphs. H Li, M Marin, MR Farhat. arXiv preprint arXiv:2402.16185",,2024,
33,"Benchmarking the empirical accuracy of short-read sequencing across the M. tuberculosis genome. M Marin, R Vargas Jr, M Harris, B Jeffrey, LE Epperson, D Durbin, .... Bioinformatics 38 (7), 1781-1787",26*,2022,
