no,title,cited_by,year,aligned
48,"Sleep and circadian biomarkers of postoperative delirium: protocol for a prospective, observational cohort study. E Sugg, E Gleeson, SN Baker, P Li, C Gao, A Mueller, H Deng, S Shen, .... medRxiv, 2023.09. 21.23295920",2,2023,
43,"Causal association between subtypes of excessive daytime sleepiness and risk of cardiovascular diseases. MO Goodman, HS Dashti, JM Lane, DP Windred, A Burns, SE Jones, .... Journal of the American Heart Association 12 (24), e030568",7,2023,
101,"Association of poor sleep burden in middle age and older adults with risk for delirium during hospitalization. MC Ulsa, X Zheng, P Li, A Gaba, PM Wong, R Saxena, FAJL Scheer, .... The Journals of Gerontology: Series A 77 (3), 507-516",34,2022,
177,"0045 Decreased Oral Glucose Tolerance And Insulin Response During Biological Evening Versus Morning Among Adults Under Free-living Conditions. HS Dashti, C Vetter, J Florez, M Garaulet, FAJL Scheer, R Saxena. Sleep 42 (Supplement_1), A18-A19",1,2019,
95,"EXCESSIVE DAYTIME SLEEPINESS WITH LONG SLEEP DURATION INCREASES MYOCARDIAL INFARCTION RISK. H Wang, T Sofer, R Saxena, S Purcell, T Huang, X Zhu, M Rutter, .... SLEEP 45, 1",,2022,
122,"Pathway-Specific Polygenic Risk Scores Identify OSA-Related Pathways and Genes That Moderate Susceptibility to CVD. M Goodman, BE Cade, R Saxena, S Purcell, T Sofer, SS Redline. TP132. TP132 EPIDEMIOLOGY AND GENETICS OF SLEEP DISORDERS: EXAMINE THE …",,2021,
187,"Shared heritability and functional enrichment across six solid cancers.. O Fletcher, A Tardon, JA Taylor, MD Teare, MR Teixeira, MB Terry, .... Nature Communications",,2019,
107,"Genetic risk for obesity and the effectiveness of the ChooseWell 365 workplace intervention to prevent weight gain and improve dietary choices. HS Dashti, DE Levy, MF Hivert, K Alimenti, JL McCurley, R Saxena, .... The American Journal of Clinical Nutrition 115 (1), 180-188",8,2022,
172,"Multi-trait genome-wide association meta-analysis of dietary intake identifies new loci and genetic and functional links with metabolic traits. J Merino, HS Dashti, C Sarnowski, JM Lane, MS Udler, PV Todorov, .... bioRxiv, 623728",4,2019,
65,"Physical Activity Attenuates the Impact of Genetic Predisposition to Obesity on Risk of Obstructive Sleep Apnea: Results From Three Prospective US Cohorts. T Huang, Y Liu, H Dashti, H Wang, T Sofer, M Stampfer, S Tworoger, .... B109. BIOMARKERS, GENETICS, AND OMICS IN SLEEP DISORDERED BREATHING, A4450-A4450",,2023,
125,"Sleep health, diseases, and pain syndromes: findings from an electronic health record biobank. HS Dashti, BE Cade, G Stutaite, R Saxena, S Redline, EW Karlson. Sleep 44 (3), zsaa189",32,2021,
84,"Multi-ancestry genome-wide association analyses identify novel genetic mechanisms in rheumatoid arthritis. K Ishigaki, S Sakaue, C Terao, Y Luo, K Sonehara, K Yamaguchi, .... Nature genetics 54 (11), 1640-1651",215,2022,
40,"Gene-Excessive Sleepiness Interactions Suggest Treatment Targets for Obstructive Sleep Apnea Subtype. H Wang, P Nagarajan, N Kurniansyah, J Lee, S Gharib, Y Xu, Y Zhang, .... Gene-Excessive Sleepiness Interactions Suggest Treatment Targets for Obstructive Sleep Apnea Subtype. P Nagarajan, N Kurniansyah, J Lee, SA Gharib, Y Xu, Y Zhang, B Spitzer, .... medRxiv, 2024.10. 25.24316158",,2024. 2024,
174,"Associations of variants In the hexokinase 1 and interleukin 18 receptor regions with oxyhemoglobin saturation during sleep. BE Cade, H Chen, AM Stilp, T Louie, S Ancoli-Israel, R Arens, R Barfield, .... PLoS genetics 15 (4), e1007739",39,2019,
178,"0839 A Prospective Investigation Of Bidirectional Relationships Between Sleep Duration And Obesity. I Daghlas, HS Dashti, MK Rutter, FAJL Scheer, R Saxena, C Vetter. Sleep 42 (Supplement_1), A336-A337",,2019,
152,"Optimizing cardiac ischemic preconditioning and postconditioning via epitranscriptional regulation. R Saxena, NL Weintraub, Y Tang. Medical hypotheses 135, 109451",12,2020,
80,"Interaction of obesity polygenic score with lifestyle risk factors in an electronic health record biobank. HS Dashti, N Miranda, BE Cade, T Huang, S Redline, EW Karlson, .... BMC medicine 20, 1-12",35,2022,
151,"Melatonin effects on glucose metabolism: time to unlock the controversy. M Garaulet, J Qian, JC Florez, J Arendt, R Saxena, FAJL Scheer. Trends in Endocrinology & Metabolism 31 (3), 192-204",170,2020,
67,"Heart rate response and recovery during exercise predict future delirium risk—A prospective cohort study in middle-to older-aged adults. L Gao, A Gaba, P Li, R Saxena, FAJL Scheer, O Akeju, MK Rutter, K Hu. Journal of sport and health science 12 (3), 312-323",10,2023,
138,"A polygenic and phenotypic risk prediction for polycystic ovary syndrome evaluated by phenome-wide association studies. YY Joo, KE Actkins, JA Pacheco, AO Basile, R Carroll, DR Crosslin, F Day, .... The Journal of Clinical Endocrinology & Metabolism 105 (6), 1918-1936",61,2020,
