no,title,cited_by,year,aligned
84,"Annals of surgery 275 (3), 582-590. Abstract WMP24: Plasma Proteomics Reveals Potential Biological Mechanisms Of Chronic Post-Stroke Depression. KA Zera, NH Bidoki, H Nassar, L Drag, M Mlynash, E Osborn, M Musabbir, ...",12,2022,0
40,"Alzheimer's & Dementia 19, e067030. Multiomic signals associated with maternal epidemiological factors contributing to preterm birth in low-and middle-income countries. CA Espinosa, W Khan, R Khanam, S Das, J Khalid, J Pervin, MP Kasaro, ...",,2023,1
137,"Stroke 51 (Suppl_1), AWP190-AWP190. Author Correction: Preferential inhibition of adaptive immune system dynamics by glucocorticoids in patients after acute surgical trauma. EA Ganio, N Stanley, V Lindberg-Larsen, J Einhaus, AS Tsai, F Verdonk, ...",,2020,0
140,"Science Signaling 12 (605), eaax1194. Guidelines for the use of flow cytometry and cell sorting in immunological studies. A Cossarizza, HD Chang, A Radbruch, A Acs, D Adam, S Adam_Klages, ...",20,2019,0
80,"Experimental Neurology 351, 113988. A data-driven health index for neonatal morbidities. D De Francesco, YJ Blumenfeld, I Mari_, JA Mayo, AL Chang, ...",22,2022,1
67,"Reproductive Sciences 29 (12), 3465-3476. Increases in ambient air pollutants during pregnancy are linked to increases in methylation of IL4, IL10, and IFN_. J Aguilera, X Han, S Cao, J Balmes, F Lurmann, T Tyner, L Lutzker, ...",4,2022,1
151,"Blood, The Journal of the American Society of Hematology 133 (9), 927-939. Deep Immune Profiling of the Post-Stroke Peripheral Immune Response Reveals Tri-phasic Response and Correlations With Long-Term Cognitive Outcomes. AS Tsai, K Berry, MM Beneyto, D Gaudilliere, EA Ganio, B Choisy, ...",25,2019,0
58,"Pediatric research 93 (2), 366-375. Multiomics, artificial intelligence, and precision medicine in perinatology. M Pammi, N Aghaeepour, J Neu",13,2023,1
62,"Statistics and Research Methods for Acute Care and General Surgeons, 147-164. Revealing the impact of lifestyle stressors on the risk of adverse pregnancy outcomes with multitask machine learning. M Becker, J Dai, AL Chang, D Feyaerts, IA Stelzer, M Zhang, E Berson, ...",,2022,1
118,"Science advances 6 (48), eabd5575. Mid-gestation serum lipidomic profile associations with spontaneous preterm birth are influenced by body mass index. K Borkowski, JW Newman, N Aghaeepour, JA Mayo, I Blazenovi_, ...",35,2020,1
1,"Academic Pathology 11 (2), 100113. Physical activity among pregnant inpatients and outpatients and associations with anxiety. DM Panelli, HE Miller, SL Simpson, J Hurtado, CH Shu, AC Boncompagni, ...",,2024,1
97,"Open Forum Infectious Diseases 8 (11), ofab483. A peripheral immune signature of labor induction. K Ando, JJ Hédou, D Feyaerts, X Han, EA Ganio, ES Tsai, LS Peterson, ...",14,2021,1
94,"Cell host & microbe 29 (12), 1828-1837. e5. Measuring the human immune response to surgery: multiomics for the prediction of postoperative outcomes. F Verdonk, J Einhaus, AS Tsai, J Hedou, B Choisy, D Gaudilliere, C Kin, ...",16,2021,0
