no,title,cited_by,year,aligned
91,"Deep Learning for the Digital Pathologic Diagnosis of Cholangiocarcinoma and Hepatocellular Carcinoma: Evaluating the Impact of a Web-based Diagnostic Assistant. B Uyumazturk, A Kiani, P Rajpurkar, A Wang, RL Ball, R Gao, Y Yu, .... Machine Learning for Health (ML4H) at NeurIPS 2019 - Extended Abstract",16,2019,
44,"Multimodal biomedical AI. JN Acosta, GJ Falcone, P Rajpurkar, EJ Topol. Nature Medicine 28 (9), 1773-1784",296,2022,
65,"Development and validation of an artificial intelligence system to optimize clinician review of patient records. EA Chi, G Chi, CT Tsui, Y Jiang, K Jarr, CV Kulkarni, M Zhang, J Long, .... JAMA network open 4 (7), e2117391-e2117391",21,2021,
53,"Self-Supervised Pretraining Enables High-Performance Chest X-Ray Interpretation Across Clinical Distributions. NS Iyer, A Gulati, O Banerjee, C Logé, M Farhat, A Saenz, P Rajpurkar. medRxiv, 2022.11. 19.22282519",2,2022,
40,"Improving dermatology classifiers across populations using images generated by large diffusion models. LW Sagers, JA Diao, M Groh, P Rajpurkar, AS Adamson, AK Manrai. NeurIPS 2022 Workshop on Synthetic Data for Empowering ML Research",15,2022,
97,"Clinical Value of Predicting Individual Treatment Effects for Intensive Blood Pressure Therapy: A Machine Learning Experiment to Estimate Treatment Effects from Randomized …. T Duan, P Rajpurkar, D Laird, AY Ng, S Basu. Circulation: Cardiovascular Quality and Outcomes 12 (3), e005010",47,2019,
24,"The Current and Future State of AI Interpretation of Medical Images. P Rajpurkar, MP Lungren. New England Journal of Medicine 388 (21), 1981-1990",104,2023,
90,"Human–machine partnership with artificial intelligence for chest radiograph diagnosis. BN Patel, L Rosenberg, G Willcox, D Baltaxe, M Lyons, J Irvin, .... NPJ digital medicine 2 (1), 111",160,2019,
80,"GloFlow: Global Image Alignment for Creation of Whole Slide Images for Pathology from Video. V Krishna, A Joshi, PL Bulterys, E Yang, AY Ng, P Rajpurkar. Machine Learning for Health (ML4H) at NeurIPS 2020 - Extended Abstract",1,2020,
67,Deep Learning for Medical Image Interpretation. P Rajpurkar. Stanford University,2,2021,
10,"LymphoML: An interpretable artificial intelligence-based method identifies morphologic features that correlate with lymphoma subtype. V Shankar, X Yang, V Krishna, B Tan, O Silva, R Rojansky, A Ng, .... Machine Learning for Health (ML4H), 528-558",2,2023,
58,"Chexbreak: Misclassification identification for deep learning models interpreting chest x-rays. E Chen, A Kim, R Krishnan, J Long, AY Ng, P Rajpurkar. Machine Learning for Healthcare Conference, 103-125",4,2021,
62,"Moco pretraining improves representation and transferability of chest x-ray models. H Sowrirajan, J Yang, AY Ng, P Rajpurkar. Medical Imaging with Deep Learning, 728-744",177,2021,
1,"Heterogeneity and predictors of the effects of AI assistance on radiologists. F Yu, A Moehring, O Banerjee, T Salz, N Agarwal, P Rajpurkar. Nature Medicine, 1-13",,2024,
39,"Self-supervised learning in medicine and healthcare. R Krishnan, P Rajpurkar, EJ Topol. Nature Biomedical Engineering 6 (12), 1346-1352",195,2022,
