no,title,cited_by,year,aligned
65,"Ten simple rules for large-scale data processing. A Fungtammasan, A Lee, J Taroni, K Wheeler, CS Chin, S Davis, .... PLoS Computational Biology 18 (2), e1009757",2,2022,
125,"Embracing study heterogeneity for finding genetic interactions in large‐scale research consortia. Y Liu, J Huang, RJ Urbanowicz, K Chen, E Manduchi, CS Greene, .... Genetic epidemiology 44 (1), 52-66",5,2020,
84,"Genetic demultiplexing of pooled single-cell RNA-sequencing samples in cancer facilitates effective experimental design. LM Weber, AA Hippen, PF Hickey, KC Berrett, J Gertz, JA Doherty, .... Gigascience 10 (9), giab062",32,2021,
40,"Biological research and self-driving labs in deep space supported by artificial intelligence. LM Sanders, RT Scott, JH Yang, AA Qutub, H Garcia Martin, DC Berrios, .... Nature Machine Intelligence 5 (3), 208-219",28,2023,
132,"Voices in methods development. P Anikeeva, E Boyden, C Brangwynne, II Cissé, O Fiehn, P Fromme, .... Nature methods 16 (10), 945-951",5,2019,
142,"Sequential compression of gene expression across dimensionalities and methods reveals no single best method or dimensionality. GP Way, M Zietz, V Rubinetti, DS Himmelstein, CS Greene",9,2019,
135,"Discovering pathway and cell type signatures in transcriptomic compendia with machine learning. GP Way, CS Greene. Annual Review of Biomedical Data Science 2 (1), 1-17",15,2019,
118,"Integrative analysis identifies candidate tumor microenvironment and intracellular signaling pathways that define tumor heterogeneity in NF1. J Banerjee, RJ Allaway, JN Taroni, A Baker, X Zhang, CI Moon, .... Genes 11 (2), 226",19,2020,
24,"Optimizer’s dilemma: optimization strongly influences model selection in transcriptomic prediction. J Crawford, M Chikina, CS Greene. Bioinformatics Advances 4 (1), vbae004",3,2024,
80,"A field guide to cultivating computational biology. GP Way, CS Greene, P Carninci, BS Carvalho, M de Hoon, SD Finley, .... PLoS biology 19 (10), e3001419",19,2021,
141,"The pediatric cell atlas: defining the growth phase of human development at single-cell resolution. DM Taylor, BJ Aronow, K Tan, K Bernt, N Salomonis, CS Greene, .... Developmental cell 49 (1), 10-29",69,2019,
130,"Integrated phosphoproteomics and transcriptional classifiers reveal hidden RAS signaling dynamics in multiple myeloma. YHT Lin, GP Way, BG Barwick, MC Mariano, M Marcoulis, ID Ferguson, .... Blood advances 3 (21), 3214-3227",23,2019,
131,"Genomic profiling of childhood tumor patient-derived xenograft models to enable rational clinical trial design. JL Rokita, KS Rathi, MF Cardenas, KA Upton, J Jayaseelan, KL Cross, .... Cell reports 29 (6), 1675-1689. e9",180,2019,
67,"Computationally Efficient Assembly of Pseudomonas aeruginosa Gene Expression Compendia. D Georgia, AJ Lee, SL Neff, T Reiter, JD Holt, BA Stanton, CS Greene, .... MSystems 8 (1)",,2022,
10,"Academic Editing Engine (s) For Attribution And Revision Of Scholarly Authoring. M Pividori, CS Greene. US Patent App. 18/585,668",,2024,
145,"Conflict of Interest Declarations by Contributing Editors of the Special Issue on Early-Career Scientists, Sponsored by Illumina. SR Bordenstein, V Bucci, D Bulgarelli, N Chia, D Ercolini, TM Flynn, ...",,2019,
